"","Organizer","Region","Week","ContactType","Attempts","Attempt Goal","Progress"
"1",1,"1","1","Phone",24,100,24
"2",1,"1","2","Phone",62,200,31
"3",1,"1","3","Phone",52,300,17.3333333333333
"4",1,"1","4","Phone",188,1000,18.8
"5",1,"1","5","Phone",104,700,14.8571428571429
"6",1,"1","6","Phone",173,700,24.7142857142857
"7",1,"1","7","Phone",151,700,21.5714285714286
"8",1,"1","8","Phone",72,300,24
"9",1,"1","9","Phone",74,300,24.6666666666667
"10",1,"1","10","Phone",9,100,9
"11",1,"1","11","Phone",43,200,21.5
"12",1,"1","12","Phone",27,200,13.5
"13",1,"1","13","Phone",79,400,19.75
"14",1,"1","14","Phone",74,400,18.5
"15",2,"1","1","Phone",17,100,17
"16",2,"1","2","Phone",66,200,33
"17",2,"1","3","Phone",59,300,19.6666666666667
"18",2,"1","4","Phone",199,1000,19.9
"19",2,"1","5","Phone",102,700,14.5714285714286
"20",2,"1","6","Phone",176,700,25.1428571428571
"21",2,"1","7","Phone",161,700,23
"22",2,"1","8","Phone",84,300,28
"23",2,"1","9","Phone",65,300,21.6666666666667
"24",2,"1","10","Phone",15,100,15
"25",2,"1","11","Phone",34,200,17
"26",2,"1","12","Phone",22,200,11
"27",2,"1","13","Phone",79,400,19.75
"28",2,"1","14","Phone",79,400,19.75
"29",3,"1","1","Phone",13,100,13
"30",3,"1","2","Phone",64,200,32
"31",3,"1","3","Phone",55,300,18.3333333333333
"32",3,"1","4","Phone",177,1000,17.7
"33",3,"1","5","Phone",98,700,14
"34",3,"1","6","Phone",153,700,21.8571428571429
"35",3,"1","7","Phone",133,700,19
"36",3,"1","8","Phone",60,300,20
"37",3,"1","9","Phone",56,300,18.6666666666667
"38",3,"1","10","Phone",6,100,6
"39",3,"1","11","Phone",20,200,10
"40",3,"1","12","Phone",22,200,11
"41",3,"1","13","Phone",62,400,15.5
"42",3,"1","14","Phone",69,400,17.25
"43",4,"1","1","Phone",30,100,30
"44",4,"1","2","Phone",84,200,42
"45",4,"1","3","Phone",71,300,23.6666666666667
"46",4,"1","4","Phone",198,1000,19.8
"47",4,"1","5","Phone",120,700,17.1428571428571
"48",4,"1","6","Phone",139,700,19.8571428571429
"49",4,"1","7","Phone",140,700,20
"50",4,"1","8","Phone",78,300,26
"51",4,"1","9","Phone",64,300,21.3333333333333
"52",4,"1","10","Phone",13,100,13
"53",4,"1","11","Phone",41,200,20.5
"54",4,"1","12","Phone",31,200,15.5
"55",4,"1","13","Phone",86,400,21.5
"56",4,"1","14","Phone",74,400,18.5
"57",5,"1","1","Phone",24,100,24
"58",5,"1","2","Phone",69,200,34.5
"59",5,"1","3","Phone",52,300,17.3333333333333
"60",5,"1","4","Phone",167,1000,16.7
"61",5,"1","5","Phone",116,700,16.5714285714286
"62",5,"1","6","Phone",152,700,21.7142857142857
"63",5,"1","7","Phone",179,700,25.5714285714286
"64",5,"1","8","Phone",73,300,24.3333333333333
"65",5,"1","9","Phone",64,300,21.3333333333333
"66",5,"1","10","Phone",9,100,9
"67",5,"1","11","Phone",34,200,17
"68",5,"1","12","Phone",18,200,9
"69",5,"1","13","Phone",75,400,18.75
"70",5,"1","14","Phone",75,400,18.75
"71",6,"2","1","Phone",15,100,15
"72",6,"2","2","Phone",68,200,34
"73",6,"2","3","Phone",69,300,23
"74",6,"2","4","Phone",213,1000,21.3
"75",6,"2","5","Phone",118,700,16.8571428571429
"76",6,"2","6","Phone",165,700,23.5714285714286
