"","Region","Week","ContactType","Attempts","Attempt Goal","Progress"
"1","1","1","Phone",108,100,108
"2","1","2","Phone",345,200,172.5
"3","1","3","Phone",289,300,96.3333333333333
"4","1","4","Phone",929,1000,92.9
"5","1","5","Phone",540,700,77.1428571428572
"6","1","6","Phone",793,700,113.285714285714
"7","1","7","Phone",764,700,109.142857142857
"8","1","8","Phone",367,300,122.333333333333
"9","1","9","Phone",323,300,107.666666666667
"10","1","10","Phone",52,100,52
"11","1","11","Phone",172,200,86
"12","1","12","Phone",120,200,60
"13","1","13","Phone",381,400,95.25
"14","1","14","Phone",371,400,92.75
"15","2","1","Phone",93,100,93
"16","2","2","Phone",342,200,171
"17","2","3","Phone",311,300,103.666666666667
"18","2","4","Phone",1034,1000,103.4
"19","2","5","Phone",545,700,77.8571428571429
"20","2","6","Phone",824,700,117.714285714286
"21","2","7","Phone",734,700,104.857142857143
"22","2","8","Phone",353,300,117.666666666667
"23","2","9","Phone",391,300,130.333333333333
"24","2","10","Phone",63,100,63
"25","2","11","Phone",167,200,83.5
"26","2","12","Phone",143,200,71.5
"27","2","13","Phone",413,400,103.25
"28","2","14","Phone",404,400,101
"29","3","1","Phone",115,100,115
"30","3","2","Phone",345,200,172.5
"31","3","3","Phone",313,300,104.333333333333
"32","3","4","Phone",940,1000,94
"33","3","5","Phone",573,700,81.8571428571429
"34","3","6","Phone",759,700,108.428571428571
"35","3","7","Phone",720,700,102.857142857143
"36","3","8","Phone",355,300,118.333333333333
"37","3","9","Phone",323,300,107.666666666667
"38","3","10","Phone",65,100,65
"39","3","11","Phone",166,200,83
"40","3","12","Phone",136,200,68
"41","3","13","Phone",391,400,97.75
"42","3","14","Phone",325,400,81.25
"43","4","1","Phone",121,100,121
"44","4","2","Phone",365,200,182.5
"45","4","3","Phone",334,300,111.333333333333
"46","4","4","Phone",940,1000,94
"47","4","5","Phone",559,700,79.8571428571429
"48","4","6","Phone",810,700,115.714285714286
"49","4","7","Phone",781,700,111.571428571429
"50","4","8","Phone",403,300,134.333333333333
"51","4","9","Phone",343,300,114.333333333333
"52","4","10","Phone",63,100,63
"53","4","11","Phone",182,200,91
"54","4","12","Phone",111,200,55.5
"55","4","13","Phone",402,400,100.5
"56","4","14","Phone",351,400,87.75
"57","5","1","Phone",103,100,103
"58","5","2","Phone",344,200,172
"59","5","3","Phone",302,300,100.666666666667
"60","5","4","Phone",878,1000,87.8
"61","5","5","Phone",554,700,79.1428571428572
"62","5","6","Phone",752,700,107.428571428571
"63","5","7","Phone",731,700,104.428571428571
"64","5","8","Phone",366,300,122
"65","5","9","Phone",335,300,111.666666666667
"66","5","10","Phone",52,100,52
"67","5","11","Phone",181,200,90.5
"68","5","12","Phone",110,200,55
"69","5","13","Phone",337,400,84.25
"70","5","14","Phone",342,400,85.5
